file, prediction
060.txt, [0.38701537]
074.txt, [0.92071978]
048.txt, [0.85844734]
049.txt, [0.93542485]
075.txt, [0.92848227]
061.txt, [0.89967677]
088.txt, [0.91223377]
077.txt, [0.91801173]
063.txt, [0.92040394]
062.txt, [0.92798048]
076.txt, [0.87666161]
089.txt, [0.91206252]
099.txt, [0.92731699]
072.txt, [0.95225554]
066.txt, [0.22828011]
067.txt, [0.73992636]
073.txt, [0.3162343]
098.txt, [0.37120569]
059.txt, [0.92105072]
065.txt, [0.90191839]
071.txt, [0.86627191]
070.txt, [0.89857179]
064.txt, [0.9370468]
058.txt, [0.87891518]
003.txt, [0.7871158]
017.txt, [0.54185081]
016.txt, [0.91299665]
002.txt, [0.71444667]
014.txt, [0.80429909]
028.txt, [0.09019562]
029.txt, [0.44781852]
001.txt, [0.77160452]
015.txt, [0.7423867]
039.txt, [0.92832966]
011.txt, [0.90861668]
005.txt, [0.8935227]
004.txt, [0.90973337]
010.txt, [0.92325083]
038.txt, [0.92185175]
006.txt, [0.82751367]
012.txt, [0.63502486]
013.txt, [0.90543165]
007.txt, [0.91199418]
022.txt, [0.91312407]
036.txt, [0.74218103]
037.txt, [0.99995429]
023.txt, [0.98360452]
035.txt, [0.85661066]
021.txt, [0.09786091]
009.txt, [0.86659892]
008.txt, [0.53075699]
020.txt, [0.8472075]
034.txt, [0.91052281]
018.txt, [0.90200048]
030.txt, [0.67534174]
024.txt, [0.8978773]
025.txt, [0.85504766]
031.txt, [0.8610984]
019.txt, [0.84398822]
027.txt, [1.]
033.txt, [0.81923205]
032.txt, [0.58506846]
026.txt, [0.5041491]
082.txt, [0.90177985]
096.txt, [0.93015757]
041.txt, [0.92402471]
055.txt, [0.91428878]
069.txt, [0.89685238]
068.txt, [0.88642409]
054.txt, [0.88078808]
040.txt, [0.93140654]
097.txt, [0.59531784]
083.txt, [0.17942526]
095.txt, [0.8799566]
081.txt, [0.41887906]
056.txt, [0.51840632]
042.txt, [0.70203685]
043.txt, [0.88262543]
057.txt, [0.94186368]
080.txt, [0.99999972]
094.txt, [0.38965713]
090.txt, [0.86545164]
084.txt, [0.91762063]
053.txt, [0.92767032]
047.txt, [0.63072895]
046.txt, [0.83675544]
052.txt, [0.79113569]
085.txt, [0.90790072]
091.txt, [0.12255103]
087.txt, [0.63659609]
093.txt, [0.82995483]
078.txt, [0.91633964]
044.txt, [0.72638556]
050.txt, [0.92750267]
051.txt, [0.90955268]
045.txt, [0.11006177]
079.txt, [0.08715665]
092.txt, [0.83610636]
086.txt, [0.91344842]
