file, prediction
060.txt, [0.25216618]
074.txt, [0.07258817]
048.txt, [0.08299514]
049.txt, [0.13813907]
075.txt, [0.06244895]
061.txt, [0.08854596]
088.txt, [0.08093741]
077.txt, [0.07912857]
063.txt, [0.07918735]
062.txt, [0.07321326]
076.txt, [0.07015737]
089.txt, [0.08879939]
099.txt, [0.05602751]
072.txt, [0.56601509]
066.txt, [0.33601982]
067.txt, [0.09950039]
073.txt, [0.0402443]
098.txt, [0.08073834]
059.txt, [0.07918531]
065.txt, [0.09109833]
071.txt, [0.06605063]
070.txt, [0.07745017]
064.txt, [0.08755261]
058.txt, [0.0623879]
003.txt, [0.08905363]
017.txt, [0.07685495]
016.txt, [0.09118138]
002.txt, [0.0767474]
014.txt, [0.09500035]
028.txt, [0.0818912]
029.txt, [0.13512139]
001.txt, [0.13428951]
015.txt, [0.08998488]
039.txt, [0.08081941]
011.txt, [0.06870246]
005.txt, [0.09026885]
004.txt, [0.16935369]
010.txt, [0.07317929]
038.txt, [0.08336269]
006.txt, [0.12413592]
012.txt, [0.08015915]
013.txt, [0.05979069]
007.txt, [0.06377486]
022.txt, [0.0729233]
036.txt, [0.06429111]
037.txt, [0.12814554]
023.txt, [0.08263053]
035.txt, [0.08749899]
021.txt, [0.5370859]
009.txt, [0.05930916]
008.txt, [0.08526594]
020.txt, [0.08790721]
034.txt, [0.07902024]
018.txt, [0.07651841]
030.txt, [0.08220326]
024.txt, [0.07627623]
025.txt, [0.09113815]
031.txt, [0.05637995]
019.txt, [0.07308216]
027.txt, [0.09058604]
033.txt, [0.3641349]
032.txt, [0.04906023]
026.txt, [0.07416783]
082.txt, [0.07796437]
096.txt, [0.07964655]
041.txt, [0.05907976]
055.txt, [0.06480519]
069.txt, [0.07298283]
068.txt, [0.07423363]
054.txt, [0.0822222]
040.txt, [0.11133562]
097.txt, [0.08428748]
083.txt, [0.10378645]
095.txt, [0.14769523]
081.txt, [0.76987415]
056.txt, [0.08971263]
042.txt, [0.1067087]
043.txt, [0.54842743]
057.txt, [0.10289087]
080.txt, [0.07743983]
094.txt, [0.26178924]
090.txt, [0.10834725]
084.txt, [0.07058491]
053.txt, [0.06170647]
047.txt, [0.08296979]
046.txt, [0.0910645]
052.txt, [0.07152824]
085.txt, [0.07971188]
091.txt, [0.0785269]
087.txt, [0.08092518]
093.txt, [0.08937718]
078.txt, [0.0769977]
044.txt, [0.07145196]
050.txt, [0.05510831]
051.txt, [0.07111832]
045.txt, [0.09687056]
079.txt, [0.09753536]
092.txt, [0.08584485]
086.txt, [0.07044865]
